"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.74000568826811e-58,1.04063952373995,0.546,0.313,6.41133169395145e-54,"E11.5","Mcm10"
6.12698619411993e-58,0.787881149179985,0.789,0.572,8.28736152616662e-54,"E11.5","Ttk"
6.43270776586075e-58,1.01541122060886,0.577,0.348,8.70088052410325e-54,"E11.5","Mns1"
6.99395097653408e-58,0.750978610224802,0.852,0.68,9.46001809085999e-54,"E11.5","Ninl"
7.76884166382546e-58,1.21660991362019,0.378,0.171,1.05081352344903e-53,"E11.5","Trappc1"
1.16571994952199e-57,0.780965654578317,0.948,0.881,1.57675280372344e-53,"E11.5","Itgb8"
1.53619160874766e-57,0.81839351248085,0.682,0.468,2.07785276999208e-53,"E11.5","Eif3k"
1.55858028043639e-57,1.68277938727917,0.258,0.089,2.10813568731827e-53,"E11.5","Enkd1"
1.58740156205201e-57,1.24159180849325,0.411,0.197,2.14711935283155e-53,"E11.5","Traf4"
1.82936155527371e-57,0.778132168377274,0.848,0.655,2.47439443966322e-53,"E11.5","Kif18a"
1.83796463461612e-57,0.894010169106362,0.747,0.54,2.48603096478176e-53,"E11.5","Krcc1"
1.8530789961261e-57,0.836388110551357,0.794,0.6,2.50647465016016e-53,"E11.5","Ncapg2"
1.96735253307528e-57,1.71429178187392,0.267,0.096,2.66104103623763e-53,"E11.5","Aurkaip1"
2.34029733164449e-57,1.01165816443505,0.512,0.283,3.16548617078233e-53,"E11.5","Polr1c"
2.61352563342323e-57,0.961318898887607,0.715,0.507,3.53505477176826e-53,"E11.5","Pdpn"
3.41802183181497e-57,0.972608708978913,0.616,0.38,4.62321632971293e-53,"E11.5","Kif2c"
3.63756696788728e-57,1.33617986730523,0.308,0.122,4.92017308076434e-53,"E11.5","Nxt1"
3.77636897474702e-57,0.835170536683855,0.678,0.456,5.10791667524282e-53,"E11.5","Psmc3"
5.87160488422472e-57,0.953632344315891,0.644,0.437,7.94193276640236e-53,"E11.5","Mlf2"
6.31353695366876e-57,1.57733234087583,0.271,0.099,8.53969008353237e-53,"E11.5","Ncbp2as2"
8.23823153929795e-57,0.92022649220641,0.635,0.412,1.11430319800544e-52,"E11.5","Pdha1"
8.86280221632461e-57,0.755308204571695,0.805,0.617,1.19878262778007e-52,"E11.5","Rbm3"
9.26318296935249e-57,0.821492325954217,0.705,0.502,1.25293812843462e-52,"E11.5","Rnf44"
1.08203084612983e-56,1.44143111109531,0.317,0.129,1.46355492247521e-52,"E11.5","Mrps7"
1.11248523569014e-56,1.23393195752234,0.43,0.217,1.50474752979448e-52,"E11.5","Eif6"
1.49347158589245e-56,1.07321462054543,0.51,0.29,2.02006966707813e-52,"E11.5","Tmem60"
1.56117096801244e-56,1.63298637905303,0.267,0.097,2.11163985133363e-52,"E11.5","Rex1bd"
