"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"C430049B03Rik",6.21749243636961e-40,1.25693966477952,0.601,0.279,6.33562479266063e-36,"0","C430049B03Rik"
"Sfrp2",9.25951596046847e-40,2.19104441324383,0.382,0.125,9.43544676371737e-36,"0","Sfrp2"
"Utrn",1.58418316532359e-39,0.803680831126307,0.936,0.839,1.61428264546474e-35,"0","Utrn"
"Fn1",2.10240487433439e-39,1.11999565477539,0.849,0.682,2.14235056694675e-35,"0","Fn1"
"Rreb1",2.93215200782503e-39,1.07647358213309,0.672,0.354,2.9878628959737e-35,"0","Rreb1"
"Tbx3os1",3.67097699675172e-39,2.01529920258056,0.441,0.164,3.74072555969e-35,"0","Tbx3os1"
"Parva",3.67179716218725e-39,0.972702603366869,0.772,0.483,3.74156130826881e-35,"0","Parva"
"Ror2",4.98004241767938e-39,1.00223889319935,0.795,0.535,5.07466322361529e-35,"0","Ror2"
"Sema5a",6.3069292414723e-39,0.803313809225505,0.949,0.838,6.42676089706027e-35,"0","Sema5a"
"Phldb2",7.39670422233286e-39,0.984145147710868,0.821,0.57,7.53724160255719e-35,"0","Phldb2"
"Nhsl2",1.13130278247803e-38,1.24008780276866,0.61,0.292,1.15279753534511e-34,"0","Nhsl2"
"Col26a1",1.34064397349252e-38,1.22974322242253,0.718,0.423,1.36611620898888e-34,"0","Col26a1"
"Piezo2",2.14785334573385e-38,1.05706172697182,0.787,0.531,2.18866255930279e-34,"0","Piezo2"
"Creb3l2",3.90066093542648e-38,0.981920063399534,0.731,0.421,3.97477349319959e-34,"0","Creb3l2"
"Sdc2",6.87716605810942e-38,1.18521533444164,0.612,0.303,7.0078322132135e-34,"0","Sdc2"
"Nxn",8.95895582147692e-38,0.916098742391055,0.893,0.751,9.12917598208498e-34,"0","Nxn"
"Gli2",1.39235928796623e-37,0.909611043641686,0.804,0.507,1.41881411443758e-33,"0","Gli2"
"Mrc2",1.43364623854442e-37,1.27410458175147,0.588,0.285,1.46088551707676e-33,"0","Mrc2"
"Vcan",2.81769623167893e-37,0.864410608157488,0.979,0.944,2.87123246008083e-33,"0","Vcan"
"Col12a1",3.55486968198941e-37,1.17806674367253,0.685,0.395,3.62241220594721e-33,"0","Col12a1"
"P3h2",5.30629140608313e-37,1.31732516468085,0.591,0.29,5.40711094279871e-33,"0","P3h2"
"Cyp7b1",6.10478996660446e-37,1.27288124507402,0.561,0.265,6.22078097596995e-33,"0","Cyp7b1"
"Pde7b",6.35177130724455e-37,1.29734137655311,0.797,0.59,6.47245496208219e-33,"0","Pde7b"
"Rrbp1",1.02006358163979e-36,0.863009424217215,0.891,0.751,1.03944478969094e-32,"0","Rrbp1"
"Tbx3",1.84373394089748e-36,1.92439875385766,0.365,0.119,1.87876488577454e-32,"0","Tbx3"
"Tgfb2",2.82529425778123e-36,1.43976909016717,0.723,0.477,2.87897484867907e-32,"0","Tgfb2"
"Sema3d",4.49282373441732e-36,1.55642138643896,0.557,0.269,4.57818738537125e-32,"0","Sema3d"
"Ust",6.83408419329106e-36,1.1801611673779,0.702,0.447,6.96393179296359e-32,"0","Ust"
"Runx2",1.13695540800156e-35,2.42093613545996,0.691,0.486,1.15855756075359e-31,"0","Runx2"
"Adamts2",1.27032637380753e-35,1.50573000413195,0.461,0.188,1.29446257490987e-31,"0","Adamts2"
"Zfp36l1",1.62984581539039e-35,1.07901069980547,0.665,0.38,1.66081288588281e-31,"0","Zfp36l1"
"Frk",2.06530072961143e-35,1.79288073252939,0.335,0.099,2.10454144347404e-31,"0","Frk"
"Prr16",2.26190157969557e-35,1.4605855261976,0.723,0.497,2.30487770970979e-31,"0","Prr16"
"Svil",3.93194001102423e-35,0.803979911263181,0.87,0.666,4.00664687123369e-31,"0","Svil"
"Satb2",5.11129696360965e-35,1.92441086518319,0.616,0.354,5.20841160591823e-31,"0","Satb2"
"Col23a1",5.5892043111888e-35,1.18837915308765,0.738,0.446,5.69539919310139e-31,"0","Col23a1"
"Dlc1",1.22379439846345e-34,0.83176984626766,0.895,0.77,1.24704649203425e-30,"0","Dlc1"
"Plpp3",1.48932031042193e-34,0.90016390492835,0.898,0.753,1.51761739631995e-30,"0","Plpp3"
"Mertk",2.03006635596243e-34,1.25747988819271,0.508,0.225,2.06863761672572e-30,"0","Mertk"
"Cdkn1c",3.7176316547367e-34,0.756074981203869,0.927,0.829,3.7882666561767e-30,"0","Cdkn1c"
"Dennd2b",4.48551389376096e-34,1.10653117363926,0.616,0.34,4.57073865774242e-30,"0","Dennd2b"
"Col6a2",5.27677802072445e-34,1.42484569737881,0.412,0.15,5.37703680311821e-30,"0","Col6a2"
