"","Cavity","Muscle","Cartilage","Jaw and tooth","Liver","Brain","Spinal cord","Connective tissue","GI track","Heart","Dorsal root ganglia","Lung","Olfactory epithelium"
"Otx1(+)",0.0235470024546802,-0.503027871213064,-0.459513322542615,-0.333347332327571,-0.552255438534178,2.17185976205575,0.127195656713573,-0.367901994808946,-0.424456087457781,-0.484924794417408,-0.706786025127327,-0.693697572307475,2.20330801751236
"Otx2(+)",0.168745114897871,-0.711207066286519,-0.6108356987298,0.901917434862062,-0.63572421008665,2.4171779946325,-0.167911775420211,-0.428957348834281,-0.521448529430163,-0.607261442622518,-0.717923922902289,-0.603184873312145,1.51661432323214
"Pax2(+)",-0.081364646491066,-0.65961860162817,-0.67701492252771,-0.161595152498446,-0.0815969829162321,0.122574259464566,2.96324344308834,-0.506217374522242,-0.745370481167888,-0.432756310459818,-0.125987688344181,-0.575899553291646,0.961604011294493
"Pax7(+)",-0.512160012451886,2.05786814153364,-0.481792486013209,-0.139231650528191,-0.793221077532356,0.925667965509424,1.11815615252315,-0.856338148153604,-1.15726332445646,0.643877796701511,0.391817475805837,-1.35944462542559,0.162063792487727
"Pax8(+)",0.0690768843332467,-0.612504518761328,-0.680989877172184,0.177633882864575,-0.219704762391071,0.0989145470623891,2.92019473743302,-0.432247146080622,-0.898922761671331,-0.460415596558078,0.691280709781004,-0.892578652950555,0.240262554110932
"Pbx1(+)",-1.53290231636001,0.424416029451142,0.299463138682858,0.316429001955306,-1.06553356907082,0.378395464973493,-0.228061046215057,-1.05770246474961,1.19736740584545,-1.0464089765185,-0.521851590805364,1.47920341156443,1.35718551124668
"Pbx2(+)",1.73244567980429,-0.561409533322897,-0.561409533322897,-0.561409533322897,-0.561409533322897,-0.561409533322897,-0.180460000242803,-0.561409533322897,-0.561409533322897,1.71881031067236,1.78188980967223,-0.561409533322897,-0.561409533322897
"Pbx4(+)",-0.112711730982648,-0.695545276536789,-0.890753778845479,-0.0343382134241621,-0.661633187774124,2.00942273679605,1.84467475296014,-0.57039386796372,-0.582253755798793,-0.470497422888042,0.829610134084936,-1.05217890901158,0.386598519384216
"Pdlim5(+)",-0.191611758960851,0.49281897483468,-0.0819927007951792,-0.328266170653569,-0.124511287478475,-0.582568915651859,-0.661959983712388,0.161612488576443,-0.1663292651718,3.1340635219984,-0.605786388595029,-0.414950327209205,-0.630518187181167
"Pgr(+)",-0.023019260019288,-0.536879388873944,-0.689698541596008,-0.0541120647964589,-0.0503430775506245,0.529829125783258,2.99044629035293,-0.555711709604069,-1.04846066702117,-0.333730461753447,0.372309887152334,-0.590264951991883,-0.0103651800816298
"Phf20(+)",0.521623699558062,-0.600787094580247,-0.113790245642345,-0.695196003077468,1.85865916963758,-0.235459095696363,-2.32854013833569,0.376119253778146,0.273171838469702,-0.679593799243806,0.411237163348109,1.02839514962393,0.184160102160392
"Phf21a(+)",-0.477195434642699,0.733875482102534,0.809757971955677,0.57675518484644,-0.288846671007208,-0.54211188104061,-2.35100894449273,-0.140366265721349,1.21341549445015,-0.628853473138112,-0.786783389210527,1.12022209817995,0.761139827718492
"Phox2b(+)",-0.197486533188581,-0.45488822055033,-0.400203336181723,-0.473073406463,-0.417504608954809,0.324546022217365,0.327877570752409,-0.309469936855197,-0.317816402312698,-0.42767686787347,3.19970585539781,-0.44281755388198,-0.411192582105796
"Pitx1(+)",-0.124510459359236,-0.489486107345734,-0.685425197207724,-0.332575871194716,-0.393294611366339,0.2976313424539,2.43578598305697,0.296747050194201,-0.604150904769289,-1.00080035515299,-0.904668295585854,-0.137275670234492,1.64202309651131
"Pknox1(+)",0.183027805477289,-0.555869647930763,-0.466985532531539,-0.608071935319493,-0.5492154714913,0.101850345563154,0.193939181991745,0.502940888977018,-0.281109222473772,-0.473493368894929,3.08420802217064,-0.489054407104036,-0.642166658434011
"Plagl1(+)",0.00629510861159878,1.54681902778116,0.443730492309069,0.452139618994445,-0.378659196327188,-1.57306735050418,-1.69701522706721,0.828040865304317,0.40179563175641,1.16983683137981,-0.836903968936977,0.421110569932264,-0.784122403233513
"Pou2f1(+)",-0.432186694340817,-0.657346036352607,-0.493736405823488,-0.192995123839781,-0.574562263799948,2.46272647863615,1.25524485366631,-0.675688860592086,-0.714609085861616,-0.892653690220559,0.370972034199493,-0.462160722557367,1.00699551688632
"Pou3f1(+)",0.0805631209618223,-0.527024849080508,-0.49530410702529,-0.787510522381917,-0.385045635401284,0.405022038485759,-0.045297190450226,0.217068632683145,-0.482660327307473,0.239792694711513,3.06208454395246,-0.658105896686979,-0.623582502461023
"Pou3f2(+)",-0.350852031797028,-0.268299859313573,-0.325796929568445,-0.232112572168106,-0.761042252152125,2.82450541511335,0.948063860777928,-0.540914174798474,-0.731561787805448,-0.517106949175746,0.442492383370394,-0.867914982856322,0.380539880373594
"Pou3f3(+)",-0.272625587108452,-0.521138910792645,-0.15244941421586,-0.145975568425022,-0.959800936071949,2.83585787061337,0.388321211927487,-0.389115224817843,-0.636432704634634,-0.669960131053807,0.121090247790338,-0.633923736299782,1.0361528830888
"Pou3f4(+)",-0.25585777777027,-0.463272089896433,-0.611234693528657,-0.26314565940971,-0.511940759397796,2.5119906565887,1.57803607177542,-0.460602903046048,-0.932144091154581,-0.436044366084279,0.584429740766233,-0.775067004148797,0.0348528753062133
"Pou4f1(+)",-0.28553669707112,-0.183211149748807,-0.523212811541792,-0.182913231650601,-0.678172948713928,0.329353162063934,0.999154729348127,-0.470502185254861,-0.813627827505684,-0.32909773734442,2.81363871070527,-0.999131587978165,0.323259574692045
"Ppara(+)",-0.106965423915169,-0.50992092962933,-1.00968032325975,-0.709933552889804,1.08884035698222,-0.638602861717282,0.0479273433769614,0.417058454879442,2.48943409795248,-0.926542039093254,-0.991114644303756,0.559957158677197,0.289542362940044
"Pura(+)",-0.0814651624671888,-0.530095087760679,-0.41007111861524,0.22874835371774,1.95339617013474,-1.03842457157258,-0.91278909113338,-0.469158277443718,-0.356759859678798,-0.735862254487884,-0.137262497989282,0.307460382721668,2.1822830145746
"Rara(+)",-0.166724361115279,1.25152710491978,0.916160331059911,0.224981239265946,-0.417717405625041,-1.79756934690733,-1.68047123494326,0.386815625399797,1.28350461431888,0.598849946447513,-0.765967185079495,0.598073563291938,-0.431462891033365
"Rarb(+)",-0.326027013896461,-0.166627204083009,-1.00796291817476,0.126329676414053,-1.63034804467802,-1.01221091482005,0.692779795823139,0.491065013451107,1.6455568859842,-0.477921068686943,-0.74266189177546,1.35096211677334,1.05706556766887
"Rarg(+)",-0.0631563293565324,0.567523440597669,2.00691265838007,1.6124179091119,-0.6587452864311,-1.4027474391539,-1.36675482776994,-0.00229843003794918,0.385568501063705,-0.403613106843546,-0.632979048470107,0.157194565824181,-0.199322606914446
"Rela(+)",-0.155441812803112,-0.283097297167795,-0.290529093290508,-0.302175174884163,-0.280075769024684,-0.287810249859165,-0.290409862742078,-0.25949981728084,-0.302175174884163,3.32567753228197,-0.270112930577134,-0.302175174884163,-0.302175174884163
"Rest(+)",-0.309517897639637,1.29270760892558,1.33331593148324,0.0924711678837445,-0.465745708173484,-1.21132383731165,-1.66170894143388,0.629321822985306,1.59457680075441,-0.030634643400752,-0.818861650201656,0.159991070180997,-0.604591724052216
"Rfx2(+)",-0.291519568308094,-1.68450087585492,-1.01822102540591,-0.384023452618592,0.744746317721835,1.40434015549586,1.53240386371566,0.371442158532383,-1.43368795703718,0.339179225107653,0.797792906032371,-0.159186147729878,-0.218765599651176
"Rfx3(+)",-0.558707288272374,-0.263263513583359,-0.411269715312245,-0.30476648649972,-0.790775359779783,2.56125312585222,0.10965510534014,-0.467064016238687,-0.272425289096801,-0.908777167272918,0.0963529557336963,-0.467446692420633,1.67723434155046
"Rfx4(+)",-0.412517864574465,-0.399668171871567,-0.449205075516708,0.170021142324695,-1.07851211071097,2.72152530768486,0.798485327462127,-0.631192612158056,-0.926914528201586,-0.324094925472246,0.0359972430019216,-0.362281853078365,0.858358121110356
"Rfx5(+)",-0.258652226283142,-0.0901156615786497,-0.0511669802982499,0.159891092794972,-0.428016215207768,-0.480249786137713,-0.518908508779097,-0.374996133512688,-0.500491270697315,-0.487131761025833,-0.494828048343702,0.325532138539144,3.19913336053004
"Rfxank(+)",-0.189138609031237,-0.150288761705521,-0.169458341229238,-0.335419156182469,-0.32215564609201,-0.347062821122477,-0.341780249727052,-0.152625146394008,3.31748102641098,-0.336941526081003,-0.322400567661761,-0.297410634380767,-0.35279956680343
"Runx1(+)",-0.276000608338656,-0.501593950596102,-0.338322455221919,-0.00525727448267243,3.13240784147792,-0.614867462554742,-0.618435040809668,0.139421006657022,-0.523420753773983,-0.464344246773005,-0.12869736191164,-0.36939373457453,0.568504040901973
"Runx3(+)",-0.085759459845664,-0.30153851199115,3.28565953949124,0.040306584685902,-0.344862201980031,-0.443797158827764,-0.449155121329243,-0.30048130232967,-0.45206977532161,-0.307961407159146,-0.285838806499386,-0.0146561152134248,-0.339846263680047
"Rxra(+)",2.39892015226556,-0.879518339698315,0.184320969061531,-0.0788881441310828,-0.411326227766317,0.721884968956392,-0.784228605528209,0.792098148922475,-0.930030002296808,0.966766539769437,-0.335416037720963,-0.48004450835418,-1.16453891347953
"Rxrg(+)",-0.120467619372095,2.26964701317607,-0.380881816479557,-0.235467812884726,-0.297951958758063,-0.855874744062612,0.114810641150701,-0.287679362276796,-0.630942537528371,2.09000607272483,-0.434739387933849,-0.66110866750932,-0.569349820246215
"Satb2(+)",0.0619114396404357,1.02506949979372,0.745576593188431,2.6830267634549,-0.512206486278111,-0.867090739166843,-0.702094253305824,-0.372506322601022,-0.48312574368618,-0.815512977004961,-0.685973388086838,0.255556048658546,-0.332630434606259
"Shox2(+)",-0.313202927976818,1.43807821638354,2.09825922889639,0.750183658952467,-1.42834226010795,-0.21646362112722,-0.472171133102378,-0.459538676817335,-0.464928551842562,-0.984981048303683,0.269426574487959,-0.837849462693656,0.621530003251238
"Six1(+)",-0.172590526575525,1.10543631065114,-0.0693272214899007,-0.157483976561826,-0.754914695803141,-1.23748521175358,-0.490374001128379,-0.259765105559202,-0.558476637838287,-0.324362794593486,2.51946088113747,-0.655821760405187,1.05570473991991
"Ski(+)",-0.0664375687351444,1.674866713921,0.548289867748182,0.831076554870301,0.151586481962468,-1.8388387585069,-1.70492415437279,-0.0573694055912907,-0.0830186360965731,-0.00629937240304657,-0.69923325230175,1.17617144688211,0.0741300826234399
"Smad1(+)",-0.301005803720381,-0.53919360293452,-0.779176376967546,-0.414343091566592,-0.366510410765689,0.780938733882682,1.63463691699783,-0.586347316926679,-0.91289455795188,-0.281021968080296,2.35936212692128,-0.757771909311143,0.163327260422939
"Smad3(+)",-0.254126609048809,1.40173776985509,0.915748889742207,0.669070329917085,-1.07075943996957,-0.268741332376766,-1.8700160163935,0.154092638042446,1.45388442483448,-0.671522124480007,-0.997427929323045,0.61580723192233,-0.0777478327219429
"Smad4(+)",0.392309107132445,0.387288096296182,1.12200384795842,-0.199667938339255,-0.840144630240047,-0.707298471381091,-1.26094500889529,-0.318738954468456,-0.303309041916341,-0.711210713351838,-0.562629254194484,0.481796610915003,2.52054635048475
"Sox1(+)",0.494222917973041,-0.503985884912726,0.0875563950835805,-0.385372590184284,-0.989371248277869,2.58028897569498,-1.07034748042757,0.348670169579705,0.246723528113611,-0.974319506545154,-0.123349058499427,-0.684325525160069,0.973609307562189
"Sox10(+)",-0.0905373167117091,-0.150062299941241,0.317592813231175,-0.213982241250933,-0.658501208146071,-0.95942383323917,-0.243904370816432,-0.208801828273301,-0.104764807268523,-0.651600491531454,3.04547793031494,-0.611539496822619,0.530047150455335
"Sox13(+)",0.307170102798477,-0.968284573936223,-0.835179035451131,0.253360693378638,-0.422850987114786,1.84805970477495,1.95505547367005,-0.0534320845471258,-1.60936393081665,0.201852696050627,-0.275818785770786,-0.196367969341842,-0.204201303694197
