"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","nCount_SCT","nFeature_SCT","SCT_snn_res.0.9","seurat_clusters","RNA_snn_res.1","celltype","Size_Factor","Pseudotime","State"
"44x17_9","51_3",54974.4715740383,8061,0.459630452951491,28545,7215,"20","Spall 2","17","Spall 2",1.71360843804383,12.0996099250757,"11"
"44x14_9","51_3",59733.2676692504,8117,0.280246560872208,28453,6914,"20","Dpall 1","13","Dpall 1",1.86333142754772,14.812095714475,"12"
"44x21_9","51_3",47963.9575431306,7461,0.416111662579495,28507,6815,"7","Dpall 2","15","Dpall 2",1.49537135172298,14.8553515646439,"12"
"44x18_9","51_3",77407.5828421021,8782,0.348452738388419,28100,6610,"20","Spall 2","17","Spall 2",2.41651582028449,11.2730546309314,"7"
"44x15_9","51_3",62194.9994693005,8366,0.359897780903843,28542,7051,"20","Dpall 1","13","Dpall 1",1.93934269909683,14.9130294075773,"12"
"44x16_9","51_3",60128.7663810932,8223,0.400521625081272,28526,7052,"20","Spall 2","17","Spall 2",1.87517570359516,11.2964548090393,"7"
"44x20_9","51_3",74348.3494978211,8516,0.294977948490763,28141,6409,"20","Spall 2","17","Spall 2",2.32150960603165,11.6869087948003,"11"
"44x19_9","51_3",85711.4798026979,9046,0.275658488987547,27948,6454,"20","Spall 2","17","Spall 2",2.67894843664404,11.8445898162493,"7"
"35x9_9","51_3",51128.4408177303,7984,0.310593650988034,28623,7455,"20","Dpall 1","13","Dpall 1",1.59075557478585,15.0525026638494,"12"
"35x12_9","51_3",64474.1266933664,8190,0.304115957330301,28491,6626,"20","Dpall 1","13","Dpall 1",2.00870731573633,15.1284534181484,"12"
"35x11_9","51_3",35014.8311753185,7164,0.497810985416041,28390,6885,"20","Dpall 1","13","Dpall 1",1.08661782514976,15.0140133447228,"12"
"35x8_9","51_3",39158.1043817388,7424,0.353657409163872,28966,7153,"20","Dpall 2","15","Dpall 2",1.21526682349479,15.2860266989766,"12"
"35x26_9","51_3",17876.577456787,6007,0.414559970352241,27308,6007,"21","Spall 1","5","Spall 1",0.554853931647714,18.7720950583547,"5"
